#,Success,Message
2017-05-01T18:19:32.999595,-1,*
2017-05-01T18:19:34.073580,-1,6
2017-05-01T18:19:35.169726,-1,5
2017-05-01T18:19:38.250957,-1,6
2017-05-01T18:19:38.316093,-1,1
2017-05-01T18:19:39.384249,-1,3
2017-05-01T18:19:42.503164,-1,9
2017-05-01T18:19:45.632872,-1,6
2017-05-01T18:19:45.744050,-1,1
2017-05-01T18:19:48.830961,-1,8
2017-05-01T18:19:49.906894,-1,2
2017-05-01T18:19:52.033051,-1,7
2017-05-01T18:19:54.114500,-1,7
2017-05-01T18:19:55.198139,-1,*
2017-05-01T18:20:01.385688,-1,47
2017-05-01T18:20:09.489999,-1,6
2017-05-01T18:20:10.609526,-1,6
2017-05-01T18:23:44.973001,0,Start
2017-05-01T18:23:45.037992,-1,1
2017-05-01T18:23:48.118205,-1,#
2017-05-01T18:23:48.183848,-1,2
2017-05-01T18:23:51.304093,-1,*
2017-05-01T18:25:20.184902,0,Start
2017-05-01T18:25:21.262069,-1,3
2017-05-01T18:25:22.338752,-1,3
2017-05-01T18:25:23.415116,-1,#
2017-05-01T18:25:24.490730,-1,6
2017-05-01T18:28:08.652952,0,Start
2017-05-01T18:28:17.893544,-1,42
2017-05-01T18:28:28.246296,0,Start
2017-05-01T18:28:30.347982,-1,3
2017-05-01T18:34:07.510963,0,Start
2017-05-01T18:34:11.620973,-1,3
2017-05-01T18:34:14.709499,-1,6
2017-05-01T18:34:14.776268,-1,1
2017-05-01T18:34:15.884198,-1,3
2017-05-01T18:34:21.032150,-1,6
2017-05-01T18:34:24.120813,-1,*
2017-05-01T18:34:25.230607,-1,0
2017-05-01T18:34:26.299749,-1,1
2017-05-01T18:34:29.380390,-1,6
2017-05-01T18:34:32.502152,-1,9
2017-05-01T18:34:39.765953,-1,5
2017-05-01T18:34:42.897809,-1,*
2017-05-01T18:34:47.046602,-1,7
2017-05-01T18:34:47.121949,-1,3
2017-05-01T18:34:49.195740,-1,6
2017-05-01T18:35:46.371310,0,Start
2017-05-01T18:35:47.442640,-1,2
2017-05-01T18:37:31.899432,0,Start
2017-05-01T18:37:32.970887,-1,2
2017-05-01T18:37:36.094923,-1,8
2017-05-01T18:37:36.191243,-1,2
2017-05-01T18:38:20.281222,0,Start
2017-05-01T18:38:21.355200,-1,5
2017-05-01T18:38:24.436817,-1,3
2017-05-01T18:40:53.591928,0,Start
2017-05-01T18:40:54.673242,-1,1
2017-05-01T18:40:54.740583,-1,3
2017-05-01T18:41:02.857768,-1,#
2017-05-01T18:41:03.939596,-1,6
2017-05-01T18:41:05.039393,-1,1
2017-05-01T18:41:07.164327,-1,7
2017-05-01T18:41:08.238574,-1,3
2017-05-01T18:41:13.384069,-1,6
2017-05-01T18:41:14.520895,-1,45
2017-05-01T18:41:14.588084,-1,2
2017-05-01T18:41:21.873935,-1,9
2017-05-01T18:41:22.954798,-1,1
2017-05-01T18:41:26.074146,-1,8
2017-05-01T18:41:28.197884,-1,9
2017-05-01T18:41:30.326479,-1,5
2017-05-01T18:41:33.414332,-1,3
2017-05-01T18:41:35.524097,-1,0
2017-05-01T18:41:37.607417,-1,0
2017-05-01T18:41:40.719436,-1,7
